dt,x,y,position,velocity,acceleration,jerk,heading
0.02,4.391379,0.732,4.391479,5.076226,2.968553,0,0
0.02,4.494091,0.732,4.494191,5.135597,2.968553,0,0
0.02,4.597991,0.732,4.598091,5.194968,2.968553,0,0
0.02,4.703077,0.732,4.703177,5.254339,2.968553,0,0
0.02,4.809352,0.732,4.809452,5.31371,2.968553,0,0
0.02,4.916615,0.732,4.916715,5.363186,2.473794,-24.737942,0
0.02,5.024383,0.732,5.024483,5.38838,1.259709,-60.70426,0
0.02,5.131971,0.732,5.132071,5.379397,-0.449135,-85.442201,0
0.02,5.238785,0.732,5.238885,5.340729,-1.933412,-74.213825,0
0.02,5.344521,0.732,5.344621,5.286762,-2.698362,-38.247506,0
0.02,5.449069,0.732,5.449169,5.227391,-2.968553,-13.509565,0
0.02,5.552429,0.732,5.552529,5.16802,-2.968553,0,0
0.02,5.654602,0.732,5.654702,5.108649,-2.968553,0,0
0.02,5.755587,0.732,5.755687,5.049277,-2.968553,0,0
0.02,5.855386,0.732,5.855486,4.989906,-2.968553,0,0
0.02,5.953996,0.732,5.954096,4.930535,-2.968553,0,0
0.02,6.05142,0.732,6.05152,4.871164,-2.968553,0,0
0.02,6.147655,0.732,6.147755,4.811793,-2.968553,0,0
0.02,6.242704,0.732,6.242804,4.752422,-2.968553,0,0
0.02,6.336565,0.732,6.336665,4.693051,-2.968553,0,0
0.02,6.429238,0.732,6.429338,4.63368,-2.968553,0,0
0.02,6.520725,0.732,6.520825,4.574309,-2.968553,0,0
0.02,6.611023,0.732,6.611123,4.514938,-2.968553,0,0
0.02,6.700135,0.732,6.700235,4.455567,-2.968553,0,0
0.02,6.788059,0.732,6.788159,4.396196,-2.968553,0,0
0.02,6.874795,0.732,6.874895,4.336825,-2.968553,0,0
0.02,6.960344,0.732,6.960444,4.277454,-2.968553,0,0
0.02,7.044706,0.732,7.044806,4.218083,-2.968553,0,0
0.02,7.12788,0.732,7.12798,4.158712,-2.968553,0,0
0.02,7.209867,0.732,7.209967,4.099341,-2.968553,0,0
0.02,7.290666,0.732,7.290766,4.039969,-2.968553,0,0
0.02,7.370278,0.732,7.370378,3.980598,-2.968553,0,0
0.02,7.448703,0.732,7.448803,3.921227,-2.968553,0,0
0.02,7.52594,0.732,7.52604,3.861856,-2.968553,0,0
0.02,7.60199,0.732,7.60209,3.802485,-2.968553,0,0
0.02,7.676852,0.732,7.676952,3.743114,-2.968553,0,0
0.02,7.750527,0.732,7.750627,3.683743,-2.968553,0,0
0.02,7.823014,0.732,7.823114,3.624372,-2.968553,0,0
0.02,7.894314,0.732,7.894414,3.565001,-2.968553,0,0
0.02,7.964427,0.732,7.964527,3.50563,-2.968553,0,0
0.02,8.033352,0.732,8.033452,3.446259,-2.968553,0,0
0.02,8.10109,0.732,8.10119,3.386888,-2.968553,0,0
0.02,8.16764,0.732,8.16774,3.327517,-2.968553,0,0
0.02,8.233003,0.732,8.233103,3.268146,-2.968553,0,0
0.02,8.297179,0.732,8.297279,3.208775,-2.968553,0,0
0.02,8.360167,0.732,8.360267,3.149404,-2.968553,0,0
0.02,8.421967,0.732,8.422067,3.090033,-2.968553,0,0
0.02,8.482581,0.732,8.482681,3.030661,-2.968553,0,0
0.02,8.542006,0.732,8.542106,2.97129,-2.968553,0,0
0.02,8.600245,0.732,8.600345,2.911919,-2.968553,0,0
0.02,8.657296,0.732,8.657396,2.852548,-2.968553,0,0
0.02,8.713159,0.732,8.713259,2.793177,-2.968553,0,0
0.02,8.767835,0.732,8.767935,2.733806,-2.968553,0,0
0.02,8.821324,0.732,8.821424,2.674435,-2.968553,0,0
0.02,8.873625,0.732,8.873725,2.615064,-2.968553,0,0
0.02,8.924739,0.732,8.924839,2.555693,-2.968553,0,0
0.02,8.974666,0.732,8.974766,2.496322,-2.968553,0,0
0.02,9.023405,0.732,9.023505,2.436951,-2.968553,0,0
0.02,9.070956,0.732,9.071056,2.37758,-2.968553,0,0
0.02,9.11732,0.732,9.11742,2.318209,-2.968553,0,0
0.02,9.162497,0.732,9.162597,2.258838,-2.968553,0,0
0.02,9.206487,0.732,9.206587,2.199467,-2.968553,0,0
0.02,9.249288,0.732,9.249388,2.140096,-2.968553,0,0
0.02,9.290903,0.732,9.291003,2.080725,-2.968553,0,0
0.02,9.33133,0.732,9.33143,2.021353,-2.968553,0,0
0.02,9.37057,0.732,9.37067,1.961982,-2.968553,0,0
0.02,9.408622,0.732,9.408722,1.902611,-2.968553,0,0
0.02,9.445487,0.732,9.445587,1.84324,-2.968553,0,0
0.02,9.481164,0.732,9.481264,1.783869,-2.968553,0,0
0.02,9.515654,0.732,9.515754,1.724498,-2.968553,0,0
0.02,9.548957,0.732,9.549057,1.665127,-2.968553,0,0
0.02,9.581072,0.732,9.581172,1.605756,-2.968553,0,0
0.02,9.611999,0.732,9.612099,1.546385,-2.968553,0,0
0.02,9.64174,0.732,9.64184,1.487014,-2.968553,0,0
0.02,9.670292,0.732,9.670392,1.427643,-2.968553,0,0
